80
1 2 3
1 1 3
1 14 7
1 1 3
1 5 7
1 1 3
1 1 3
2 0 3
1 9 7
1 27 7
1 8 7
1 21 7
1 1 3
1 1 3
1 1 3
1 1 3
1 1 3
1 13 7
1 15 7
1 1 3
1 1 3
1 1 3
1 44 7
1 17 7
4 1 3
1 6 7
1 1 3
1 1 3
1 1 3
1 1 3
1 42 7
1 1 3
3 33 7
3 28 7
1 1 3
1 1 3
3 19 7
1 47 7
1 1 3
1 1 3
1 40 7
3 30 7
1 1 3
1 7 7
1 46 7
3 26 7
3 35 7
3 29 7
1 12 7
1 36 7
1 20 7
1 1 3
3 18 7
3 31 7
3 25 7
3 32 7
1 45 7
1 1 3
1 1 3
1 16 7
1 10 7
1 1 3
1 41 7
1 37 7
1 1 3
1 1 3
1 1 3
3 38 7
3 4 3
1 23 7
1 34 7
1 43 7
1 11 7
1 1 3
4 22 7
1 39 7
1 1 3
1 24 7
1 1 3
1 1 3
